id;start_date;end_date;language
1;2021-04-12T19:10:03;2021-04-12T17:00:18;ENGLISH
2;2021-04-12T04:37:38;2021-04-12T14:03:07;FRENCH
3;2021-04-12T14:33:50;2021-04-12T02:38:58;SPANISH
4;2021-04-12T19:04:39;2021-04-12T00:30:58;FRENCH
5;2021-04-12T21:21:02;2021-04-12T05:40:00;ENGLISH
6;2021-04-12T06:51:45;2021-04-12T20:52:05;SPANISH
7;2021-04-12T14:55:33;2021-04-12T01:29:42;FRENCH
8;2021-04-12T05:21:26;2021-04-12T01:57:15;FRENCH
9;2021-04-12T06:13:04;2021-04-12T17:44:30;FRENCH
10;2021-04-12T02:10:02;2021-04-12T19:07:31;FRENCH
